,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
366668,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:21
366669,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:22
366674,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:24
366675,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:24
366676,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:24
366677,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:24
366678,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:24
366679,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:24
366684,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:27
366685,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:27
366686,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:27
366687,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:27
366688,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:27
366689,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:27
366694,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:29
366695,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:29
366696,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:29
366697,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:30
366698,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:30
366699,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:30
366704,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:32
366705,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:32
366706,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:32
366707,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:32
366708,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:32
366709,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:32
366714,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:35
366715,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:35
366716,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:35
366717,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:35
366718,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:35
366719,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:35
366724,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:38
366725,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:38
