,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1833336,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:14
1833337,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:14
1833338,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:14
1833339,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:14
1833344,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:17
1833345,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:17
1833346,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:17
1833347,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:17
1833348,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:17
1833349,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:17
1833354,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:19
1833355,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:20
1833356,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:20
1833357,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:20
1833358,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:20
1833359,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:20
1833364,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:22
1833365,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:22
1833366,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:22
1833367,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:22
1833368,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:22
1833369,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:23
1833374,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 06:47:25
